id,name,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,latitude,longitude,area_type
685,Modern Stay near Janakpuri,Arjun Yadav,Janakpuri,Entire home/apt,2900,1,18,0.26,365,28.624523,77.088352,Developed Residential
686,Budget Stay around Old Delhi,Manish Verma,Old Delhi,Private room,1350,5,20,0.9,365,28.656384,77.22742,Dense/Chawl-type Area
687,Comfortable Home in Gurgaon Golf Course Road,Simran Mishra,Gurgaon Golf Course Road,Private room,3050,1,14,1.56,365,28.461041,77.099931,Developed Residential
688,Bright Apartment in Mehrauli,Megha Kumar,Mehrauli,Private room,1850,1,66,0.33,147,28.517333,77.180504,Dense/Chawl-type Area
689,Bright Apartment in Gurgaon Golf Course Road,Priya Verma,Gurgaon Golf Course Road,Entire home/apt,4000,2,37,0.42,222,28.454611,77.091142,Developed Residential
690,Private Room near Karol Bagh,Karan Kumar,Karol Bagh,Entire home/apt,3400,2,9,0.44,226,28.646366,77.186955,Market Area
691,Budget Stay around Lajpat Nagar,Simran Saini,Lajpat Nagar,Hotel room,2300,4,16,0.14,294,28.56803,77.245835,Market Area
692,Private Room near Noida Sector 18,Ankit Saini,Noida Sector 18,Entire home/apt,2850,1,20,0.22,261,28.570097,77.3304,Market Area
693,Cozy Connaught Place Studio,Sanjay Mehta,Connaught Place,Entire home/apt,4000,4,69,0.11,365,28.631311,77.218244,Market Area
694,Budget Stay around Noida Sector 137,Sanjay Bansal,Noida Sector 137,Entire home/apt,2100,1,20,1.44,102,28.514117,77.414534,Developed Residential
695,Cozy Aerocity Studio,Arjun Agarwal,Aerocity,Private room,2800,14,61,0.64,164,28.546893,77.081426,Developed Residential
696,Budget Stay around Uttam Nagar,Neha Agarwal,Uttam Nagar,Private room,1250,2,67,0.04,300,28.61601,77.058886,Dense/Chawl-type Area
697,Comfortable Home in Aerocity,Sanjay Kapoor,Aerocity,Entire home/apt,3450,1,34,1.52,365,28.555283,77.0907,Developed Residential
698,Family Home in Vasant Kunj,Amit Gupta,Vasant Kunj,Private room,2300,1,38,0.49,159,28.524318,77.156878,Developed Residential
699,Comfortable Home in Saket,Shreya Sharma,Saket,Entire home/apt,4000,1,114,1.03,235,28.530413,77.215962,Developed Residential
700,Bright Apartment in Uttam Nagar,Neha Singh,Uttam Nagar,Entire home/apt,1200,5,43,0.19,98,28.615076,77.067464,Dense/Chawl-type Area
701,Family Home in Karol Bagh,Sanjay Malhotra,Karol Bagh,Entire home/apt,2050,1,50,0.91,145,28.649613,77.195314,Market Area
702,Comfortable Home in Faridabad Sector 15,Rohit Bansal,Faridabad Sector 15,Private room,1150,1,22,0.19,189,28.412064,77.318114,Developed Residential
703,Bright Apartment in Gurgaon Sector 47,Shreya Chauhan,Gurgaon Sector 47,Private room,2300,2,83,0.85,274,28.441964,77.027644,Developed Residential
704,Modern Stay near Noida Sector 62,Shreya Yadav,Noida Sector 62,Entire home/apt,3150,1,160,0.32,235,28.620058,77.366835,Corporate/Developed Area
705,Premium Stay - Saket,Aditya Gupta,Saket,Hotel room,2500,1,20,1.35,321,28.522942,77.211783,Developed Residential
706,Bright Apartment in Mehrauli,Sanjay Malhotra,Mehrauli,Private room,1850,5,24,0.58,248,28.527265,77.176366,Dense/Chawl-type Area
707,Modern Stay near Chattarpur,Arjun Singh,Chattarpur,Private room,1800,1,29,0.91,242,28.503306,77.179042,Green & Peaceful
708,Comfortable Home in Dwarka,Amit Saini,Dwarka,Entire home/apt,2700,2,25,0.65,357,28.593517,77.040365,Developed Residential
709,Budget Stay around Chattarpur,Varun Kapoor,Chattarpur,Entire home/apt,3650,1,2,0.1,317,28.513744,77.183378,Green & Peaceful
710,City Stay - Janakpuri,Megha Verma,Janakpuri,Entire home/apt,2100,7,89,0.08,255,28.620046,77.075173,Developed Residential
711,Private Room near Mehrauli,Arjun Saini,Mehrauli,Private room,1550,3,61,0.09,318,28.524109,77.201838,Dense/Chawl-type Area
712,City Stay - Janakpuri,Pooja Bansal,Janakpuri,Entire home/apt,2150,1,26,0.12,288,28.61029,77.086904,Developed Residential
713,Modern Stay near Dwarka,Varun Singh,Dwarka,Entire home/apt,2300,14,36,1.14,114,28.591073,77.053484,Developed Residential
714,Modern Stay near Gurgaon Cyber City,Rahul Mishra,Gurgaon Cyber City,Entire home/apt,4000,1,54,0.34,48,28.503053,77.077395,Corporate/Developed Area
715,Private Room near Ghaziabad Vaishali,Shreya Gupta,Ghaziabad Vaishali,Private room,1500,1,81,0.7,214,28.644709,77.334835,Market Area
716,Bright Apartment in South Extension,Neha Yadav,South Extension,Shared room,1650,1,48,0.06,182,28.570458,77.222555,Market Area
717,Modern Stay near Karol Bagh,Sanjay Saini,Karol Bagh,Private room,2050,3,16,0.18,267,28.639192,77.188524,Market Area
718,City Stay - Gurgaon Sector 47,Megha Kapoor,Gurgaon Sector 47,Entire home/apt,3400,7,11,0.13,365,28.439887,77.043317,Developed Residential
719,Comfortable Home in Dwarka,Karan Mishra,Dwarka,Private room,1600,7,26,1.18,239,28.587904,77.048488,Developed Residential
720,Bright Apartment in Chattarpur,Ankit Yadav,Chattarpur,Entire home/apt,2550,3,52,2.21,365,28.504301,77.16285,Green & Peaceful
721,Modern Stay near Vikaspuri,Deepak Singh,Vikaspuri,Hotel room,1950,2,66,0.63,195,28.64745,77.074553,Developed Residential
722,Comfortable Home in Ghaziabad Vaishali,Pooja Yadav,Ghaziabad Vaishali,Entire home/apt,2350,1,100,1.67,266,28.663204,77.336733,Market Area
723,Private Room near Karol Bagh,Vikas Yadav,Karol Bagh,Entire home/apt,2550,3,49,0.14,39,28.663561,77.20306,Market Area
724,Premium Stay - Old Delhi,Amit Chauhan,Old Delhi,Entire home/apt,1550,1,31,1.38,307,28.657671,77.236361,Dense/Chawl-type Area
725,Private Room near Gurgaon Sector 47,Aditya Chauhan,Gurgaon Sector 47,Entire home/apt,3450,1,40,0.75,162,28.427371,77.041884,Developed Residential
726,Family Home in South Extension,Megha Gupta,South Extension,Entire home/apt,4000,1,84,0.17,183,28.57494,77.225501,Market Area
727,City Stay - Gurgaon Golf Course Road,Neha Verma,Gurgaon Golf Course Road,Entire home/apt,4000,7,109,0.25,365,28.459513,77.095125,Developed Residential
728,Private Room near Mahipalpur,Nisha Saini,Mahipalpur,Private room,1500,7,36,0.33,198,28.554044,77.129471,Dense/Chawl-type Area
729,Budget Stay around Noida Sector 62,Deepak Malhotra,Noida Sector 62,Entire home/apt,2750,2,14,0.87,183,28.625955,77.375185,Corporate/Developed Area
730,Comfortable Home in Saket,Aditya Verma,Saket,Shared room,1900,1,24,0.43,114,28.531898,77.200261,Developed Residential
731,Modern Stay near Gurgaon Cyber City,Riya Agarwal,Gurgaon Cyber City,Private room,3400,2,31,0.24,112,28.487047,77.093223,Corporate/Developed Area
732,Premium Stay - Mehrauli,Shreya Mehta,Mehrauli,Private room,1300,1,15,0.39,103,28.53063,77.194118,Dense/Chawl-type Area
733,Premium Stay - Noida Sector 18,Sanjay Gupta,Noida Sector 18,Entire home/apt,2600,1,12,0.53,20,28.579594,77.321236,Market Area
734,Comfortable Home in Connaught Place,Aditya Gupta,Connaught Place,Entire home/apt,4000,1,33,0.47,221,28.634348,77.220946,Market Area
735,Cozy Vikaspuri Studio,Manish Kapoor,Vikaspuri,Private room,1150,2,21,1.19,227,28.639808,77.069781,Developed Residential
736,Comfortable Home in Noida Sector 62,Priya Kapoor,Noida Sector 62,Private room,1300,3,22,0.25,82,28.62209,77.372847,Corporate/Developed Area
737,Comfortable Home in Paharganj,Karan Gupta,Paharganj,Private room,1200,1,20,1.04,234,28.643414,77.205849,Dense/Chawl-type Area
738,Peaceful Retreat near Lajpat Nagar,Riya Jain,Lajpat Nagar,Hotel room,3500,3,18,0.14,172,28.576836,77.238586,Market Area
739,City Stay - South Extension,Sanjay Kapoor,South Extension,Private room,3150,7,22,0.04,249,28.572255,77.223135,Market Area
740,Peaceful Retreat near Uttam Nagar,Neha Kumar,Uttam Nagar,Private room,1150,1,60,0.32,255,28.62674,77.066281,Dense/Chawl-type Area
741,Comfortable Home in Mahipalpur,Megha Kumar,Mahipalpur,Private room,1250,4,8,0.32,336,28.549654,77.131288,Dense/Chawl-type Area
742,Premium Stay - Gurgaon DLF Phase 2,Karan Bansal,Gurgaon DLF Phase 2,Entire home/apt,4000,1,59,0.15,268,28.469709,77.099781,Market Area
743,Comfortable Home in Noida Sector 75,Neha Kapoor,Noida Sector 75,Shared room,700,1,57,0.18,203,28.566513,77.38643,Developed Residential
744,Comfortable Home in Mahipalpur,Aditya Bansal,Mahipalpur,Entire home/apt,2050,2,14,0.27,71,28.549774,77.121628,Dense/Chawl-type Area
745,Family Home in Mahipalpur,Ankit Agarwal,Mahipalpur,Private room,1300,1,15,0.42,365,28.565553,77.129547,Dense/Chawl-type Area
746,Family Home in Janakpuri,Simran Chauhan,Janakpuri,Entire home/apt,2750,7,16,0.89,243,28.624348,77.091367,Developed Residential
747,Cozy Chattarpur Studio,Rohit Mishra,Chattarpur,Entire home/apt,2450,1,13,0.79,146,28.497912,77.171366,Green & Peaceful
748,Family Home in Ghaziabad Vaishali,Neha Sharma,Ghaziabad Vaishali,Private room,1450,1,19,0.04,237,28.647234,77.334865,Market Area
749,Peaceful Retreat near Noida Sector 75,Arjun Agarwal,Noida Sector 75,Private room,1250,1,29,1.46,5,28.569172,77.400512,Developed Residential
750,Family Home in Noida Sector 137,Aditya Malhotra,Noida Sector 137,Entire home/apt,2200,5,23,0.71,283,28.504928,77.405135,Developed Residential
751,Premium Stay - Green Park,Amit Mehta,Green Park,Entire home/apt,2600,1,20,1.81,365,28.560231,77.210521,Green & Peaceful
752,City Stay - Paharganj,Karan Agarwal,Paharganj,Private room,1400,1,6,0.8,128,28.645167,77.218543,Dense/Chawl-type Area
753,Budget Stay around Lajpat Nagar,Varun Singh,Lajpat Nagar,Private room,2400,3,1,0.74,221,28.570407,77.242861,Market Area
754,Modern Stay near Noida Sector 137,Karan Mehta,Noida Sector 137,Entire home/apt,2050,14,27,0.7,365,28.508642,77.3975,Developed Residential
755,Private Room near Connaught Place,Rohit Gupta,Connaught Place,Entire home/apt,4000,2,16,0.33,262,28.63126,77.22147,Market Area
756,Private Room near Uttam Nagar,Manish Mehta,Uttam Nagar,Private room,1300,1,115,0.45,224,28.621196,77.051421,Dense/Chawl-type Area
757,Family Home in Connaught Place,Pooja Chauhan,Connaught Place,Private room,3200,5,81,0.43,59,28.624728,77.222535,Market Area
758,Bright Apartment in Green Park,Rahul Chauhan,Green Park,Entire home/apt,4000,1,10,0.5,156,28.562432,77.195592,Green & Peaceful
759,Comfortable Home in Gurgaon DLF Phase 2,Sanjay Malhotra,Gurgaon DLF Phase 2,Private room,2200,1,18,1.26,5,28.479815,77.092628,Market Area
760,Premium Stay - Hauz Khas,Sanjay Kapoor,Hauz Khas,Private room,1950,1,35,0.31,66,28.549208,77.205442,Green & Peaceful
761,Peaceful Retreat near Aerocity,Priya Chauhan,Aerocity,Shared room,2150,1,44,0.5,133,28.554088,77.092682,Developed Residential
762,City Stay - Paharganj,Shreya Verma,Paharganj,Entire home/apt,1950,2,11,0.31,86,28.650551,77.212736,Dense/Chawl-type Area
763,Comfortable Home in Hauz Khas,Shreya Singh,Hauz Khas,Private room,2350,2,15,0.31,220,28.55837,77.192222,Green & Peaceful
764,City Stay - Chattarpur,Priya Sharma,Chattarpur,Entire home/apt,3000,1,35,0.67,96,28.496362,77.17737,Green & Peaceful
765,Family Home in Aerocity,Nisha Mishra,Aerocity,Entire home/apt,4000,1,14,0.91,271,28.549458,77.093267,Developed Residential
766,Comfortable Home in Lajpat Nagar,Manish Singh,Lajpat Nagar,Entire home/apt,3250,1,35,0.48,8,28.573372,77.239985,Market Area
767,Family Home in Janakpuri,Riya Jain,Janakpuri,Entire home/apt,2050,1,11,0.41,250,28.620446,77.094695,Developed Residential
768,Comfortable Home in Janakpuri,Riya Singh,Janakpuri,Entire home/apt,2500,3,100,0.75,117,28.615722,77.084896,Developed Residential
769,Private Room near Hauz Khas,Varun Kapoor,Hauz Khas,Entire home/apt,4000,1,14,0.21,138,28.544145,77.203297,Green & Peaceful
770,City Stay - Gurgaon DLF Phase 2,Varun Jain,Gurgaon DLF Phase 2,Private room,2300,3,18,0.61,151,28.476832,77.094787,Market Area
771,Modern Stay near Gurgaon DLF Phase 2,Varun Sharma,Gurgaon DLF Phase 2,Private room,3400,2,68,0.09,247,28.485104,77.101351,Market Area
772,Private Room near Noida Sector 18,Nisha Kapoor,Noida Sector 18,Entire home/apt,2550,1,27,0.68,135,28.575022,77.320565,Market Area
773,Family Home in Faridabad Sector 15,Vikas Singh,Faridabad Sector 15,Entire home/apt,1700,2,26,0.57,137,28.415971,77.316003,Developed Residential
774,Cozy Noida Sector 18 Studio,Sanjay Sharma,Noida Sector 18,Private room,1600,2,6,1.14,211,28.575073,77.324624,Market Area
775,Family Home in South Extension,Karan Mehta,South Extension,Private room,2500,1,35,0.06,365,28.571719,77.22096,Market Area
776,Premium Stay - Karol Bagh,Varun Kumar,Karol Bagh,Hotel room,2450,3,23,0.34,269,28.656357,77.18469,Market Area
777,Modern Stay near Noida Sector 62,Amit Mishra,Noida Sector 62,Entire home/apt,2750,3,33,0.49,71,28.619211,77.372785,Corporate/Developed Area
778,City Stay - Mahipalpur,Manish Gupta,Mahipalpur,Entire home/apt,2300,2,29,1.24,112,28.55923,77.133926,Dense/Chawl-type Area
779,Budget Stay around Noida Sector 18,Sanjay Yadav,Noida Sector 18,Private room,1700,14,68,0.16,168,28.576891,77.326648,Market Area
780,Budget Stay around Uttam Nagar,Sanjay Sharma,Uttam Nagar,Hotel room,2200,1,70,0.52,23,28.62813,77.066163,Dense/Chawl-type Area
781,Premium Stay - Dwarka,Rohit Bansal,Dwarka,Hotel room,2300,3,8,0.33,218,28.581098,77.040998,Developed Residential
782,Premium Stay - Vikaspuri,Pooja Chauhan,Vikaspuri,Entire home/apt,2000,1,86,0.2,17,28.643785,77.074327,Developed Residential
783,Budget Stay around Noida Sector 18,Karan Verma,Noida Sector 18,Entire home/apt,3250,1,21,0.53,158,28.572503,77.331775,Market Area
784,Premium Stay - Noida Sector 62,Deepak Mehta,Noida Sector 62,Entire home/apt,3250,1,12,0.31,308,28.62495,77.358901,Corporate/Developed Area
785,Family Home in Ghaziabad Indirapuram,Arjun Mishra,Ghaziabad Indirapuram,Entire home/apt,3100,1,30,0.29,356,28.649791,77.365651,Developed Residential
786,Comfortable Home in Karol Bagh,Simran Verma,Karol Bagh,Hotel room,2250,4,26,0.33,198,28.645505,77.195404,Market Area
787,Bright Apartment in Gurgaon Sector 47,Priya Malhotra,Gurgaon Sector 47,Hotel room,3350,1,12,0.19,5,28.431767,77.056325,Developed Residential
788,Bright Apartment in Paharganj,Riya Kapoor,Paharganj,Entire home/apt,2250,1,79,0.2,250,28.636131,77.209376,Dense/Chawl-type Area
789,Family Home in Janakpuri,Rahul Singh,Janakpuri,Private room,2400,2,18,0.57,79,28.620467,77.095513,Developed Residential
790,Premium Stay - Ghaziabad Vaishali,Deepak Malhotra,Ghaziabad Vaishali,Private room,1450,1,5,0.86,25,28.652778,77.337754,Market Area
791,Cozy Connaught Place Studio,Rohit Sharma,Connaught Place,Private room,3550,3,8,0.28,241,28.624457,77.223376,Market Area
792,Bright Apartment in Hauz Khas,Rahul Saini,Hauz Khas,Private room,2450,3,45,0.56,208,28.536849,77.197885,Green & Peaceful
793,Private Room near Aerocity,Varun Kapoor,Aerocity,Entire home/apt,4000,1,17,0.64,329,28.561727,77.076461,Developed Residential
794,Premium Stay - Noida Sector 137,Rahul Bansal,Noida Sector 137,Entire home/apt,2850,2,23,0.28,78,28.517568,77.410459,Developed Residential
795,Family Home in Karol Bagh,Rahul Chauhan,Karol Bagh,Private room,1600,2,90,0.34,67,28.654069,77.193169,Market Area
796,Budget Stay around Mahipalpur,Riya Gupta,Mahipalpur,Private room,1150,2,47,1.03,123,28.544878,77.125014,Dense/Chawl-type Area
797,City Stay - Faridabad Sector 15,Simran Saini,Faridabad Sector 15,Private room,1200,2,31,1.84,145,28.418722,77.313119,Developed Residential
798,Premium Stay - Vasant Kunj,Aditya Chauhan,Vasant Kunj,Entire home/apt,3900,1,40,0.56,115,28.529333,77.159101,Developed Residential
799,Private Room near Connaught Place,Deepak Kapoor,Connaught Place,Private room,2900,1,34,0.06,198,28.642836,77.218129,Market Area
800,Private Room near Greater Kailash,Aditya Kumar,Greater Kailash,Private room,2300,1,46,0.34,202,28.556981,77.23991,Developed Residential
801,Bright Apartment in Mahipalpur,Amit Chauhan,Mahipalpur,Hotel room,2150,1,16,1.89,236,28.543789,77.138917,Dense/Chawl-type Area
802,Family Home in Hauz Khas,Priya Malhotra,Hauz Khas,Private room,3450,5,98,0.1,314,28.549772,77.205449,Green & Peaceful
803,Cozy Vasant Kunj Studio,Karan Yadav,Vasant Kunj,Entire home/apt,3300,1,23,1.16,365,28.530367,77.143689,Developed Residential
804,City Stay - Ghaziabad Indirapuram,Simran Mehta,Ghaziabad Indirapuram,Entire home/apt,2000,1,31,0.02,208,28.634136,77.366793,Developed Residential
805,Peaceful Retreat near Greater Kailash,Aditya Bansal,Greater Kailash,Private room,2400,1,86,0.8,57,28.540579,77.237497,Developed Residential
806,Private Room near Noida Sector 62,Rohit Bansal,Noida Sector 62,Private room,2450,1,42,0.17,180,28.629224,77.365961,Corporate/Developed Area
807,Family Home in Gurgaon Sector 47,Ankit Kapoor,Gurgaon Sector 47,Entire home/apt,3800,1,8,0.47,164,28.425565,77.040772,Developed Residential
808,Peaceful Retreat near Hauz Khas,Nisha Gupta,Hauz Khas,Private room,2650,7,15,0.32,257,28.557035,77.20271,Green & Peaceful
809,Modern Stay near Greater Kailash,Rohit Bansal,Greater Kailash,Private room,1950,3,33,0.32,146,28.544231,77.225566,Developed Residential
810,Private Room near Noida Sector 75,Pooja Sharma,Noida Sector 75,Private room,1600,3,87,0.62,238,28.557643,77.388238,Developed Residential
811,Comfortable Home in Mehrauli,Riya Malhotra,Mehrauli,Entire home/apt,1900,7,45,0.27,105,28.529577,77.184879,Dense/Chawl-type Area
812,Peaceful Retreat near Ghaziabad Indirapuram,Manish Saini,Ghaziabad Indirapuram,Entire home/apt,2000,2,70,0.44,314,28.648346,77.370779,Developed Residential
813,Family Home in Paharganj,Manish Kapoor,Paharganj,Entire home/apt,2000,2,10,0.04,201,28.649713,77.219641,Dense/Chawl-type Area
814,Cozy Paharganj Studio,Varun Mishra,Paharganj,Entire home/apt,2350,1,53,0.37,188,28.639177,77.214439,Dense/Chawl-type Area
815,Peaceful Retreat near Saket,Rahul Kapoor,Saket,Private room,2000,1,73,0.13,173,28.529712,77.211874,Developed Residential
816,Private Room near Noida Sector 137,Megha Chauhan,Noida Sector 137,Entire home/apt,2000,5,35,0.36,274,28.508124,77.40638,Developed Residential
817,Bright Apartment in Aerocity,Deepak Malhotra,Aerocity,Hotel room,3150,1,18,0.22,308,28.554549,77.087766,Developed Residential
818,Premium Stay - Greater Kailash,Ankit Mehta,Greater Kailash,Private room,3400,1,17,0.8,99,28.55022,77.241331,Developed Residential
819,Bright Apartment in Karol Bagh,Riya Kapoor,Karol Bagh,Private room,1700,5,4,2.78,133,28.650718,77.187439,Market Area
820,Private Room near Defence Colony,Arjun Bansal,Defence Colony,Private room,3400,5,74,0.29,50,28.580274,77.231144,Green & Peaceful
821,City Stay - Rajendra Place,Pooja Singh,Rajendra Place,Hotel room,2850,2,33,0.11,269,28.647679,77.181624,Developed Residential
822,Peaceful Retreat near Noida Sector 137,Megha Kumar,Noida Sector 137,Entire home/apt,2150,1,126,0.7,208,28.524117,77.405237,Developed Residential
823,City Stay - Old Delhi,Karan Yadav,Old Delhi,Entire home/apt,2750,1,22,0.29,263,28.646843,77.225534,Dense/Chawl-type Area
824,Private Room near Noida Sector 18,Pooja Saini,Noida Sector 18,Private room,2100,1,40,0.39,190,28.566076,77.318073,Market Area
825,Bright Apartment in Karol Bagh,Riya Mehta,Karol Bagh,Private room,1700,1,49,0.63,163,28.664514,77.189221,Market Area
826,City Stay - Chattarpur,Megha Jain,Chattarpur,Private room,2050,2,80,0.15,133,28.515219,77.173364,Green & Peaceful
827,Family Home in Faridabad Sector 15,Karan Verma,Faridabad Sector 15,Private room,1700,7,27,1.15,206,28.406501,77.338064,Developed Residential
828,Budget Stay around Ghaziabad Vaishali,Megha Malhotra,Ghaziabad Vaishali,Shared room,1050,1,10,0.04,365,28.654209,77.341049,Market Area
829,Comfortable Home in Saket,Sanjay Yadav,Saket,Private room,2450,1,27,0.41,284,28.517994,77.202096,Developed Residential
830,City Stay - Green Park,Karan Sharma,Green Park,Private room,2700,1,37,0.7,234,28.553473,77.20665,Green & Peaceful
831,Private Room near Vikaspuri,Neha Chauhan,Vikaspuri,Entire home/apt,1850,1,14,1.01,281,28.620341,77.063976,Developed Residential
832,Private Room near Saket,Arjun Saini,Saket,Private room,2650,1,120,0.21,363,28.526243,77.208437,Developed Residential
833,Premium Stay - Mahipalpur,Pooja Singh,Mahipalpur,Private room,1750,1,88,0.28,283,28.553589,77.120455,Dense/Chawl-type Area
834,Premium Stay - Connaught Place,Arjun Jain,Connaught Place,Entire home/apt,4000,2,12,0.42,232,28.632631,77.220007,Market Area
835,Modern Stay near Noida Sector 75,Arjun Gupta,Noida Sector 75,Entire home/apt,2400,1,2,0.11,211,28.577978,77.38804,Developed Residential
836,Family Home in Green Park,Simran Saini,Green Park,Private room,2300,4,56,0.4,159,28.564365,77.210341,Green & Peaceful
837,Cozy Noida Sector 137 Studio,Vikas Singh,Noida Sector 137,Hotel room,1950,5,36,0.38,365,28.506019,77.39306,Developed Residential
838,Peaceful Retreat near Greater Kailash,Deepak Singh,Greater Kailash,Shared room,1750,3,43,0.28,263,28.546489,77.240623,Developed Residential
839,Budget Stay around Vikaspuri,Rohit Verma,Vikaspuri,Entire home/apt,3000,2,19,0.25,79,28.635385,77.075265,Developed Residential
840,Private Room near Gurgaon Sector 47,Riya Saini,Gurgaon Sector 47,Private room,2450,2,18,0.61,279,28.428623,77.041219,Developed Residential
841,Comfortable Home in Chattarpur,Priya Agarwal,Chattarpur,Private room,1500,5,35,0.56,216,28.497251,77.184781,Green & Peaceful
842,Comfortable Home in Vasant Kunj,Amit Kapoor,Vasant Kunj,Entire home/apt,3650,1,30,0.68,252,28.514816,77.157634,Developed Residential
843,Private Room near Ghaziabad Indirapuram,Manish Agarwal,Ghaziabad Indirapuram,Entire home/apt,2550,1,38,1.03,333,28.626811,77.383312,Developed Residential
844,Peaceful Retreat near Old Delhi,Varun Agarwal,Old Delhi,Entire home/apt,1450,5,128,0.11,282,28.650097,77.228164,Dense/Chawl-type Area
845,City Stay - Lajpat Nagar,Karan Chauhan,Lajpat Nagar,Entire home/apt,2650,3,40,0.89,263,28.567505,77.248283,Market Area
846,Modern Stay near Karol Bagh,Rohit Jain,Karol Bagh,Entire home/apt,2200,2,59,0.17,225,28.650368,77.20127,Market Area
847,Premium Stay - Paharganj,Aditya Singh,Paharganj,Entire home/apt,2100,2,37,0.19,130,28.646794,77.202467,Dense/Chawl-type Area
848,Comfortable Home in Ghaziabad Indirapuram,Rohit Jain,Ghaziabad Indirapuram,Private room,1500,7,57,0.14,237,28.645055,77.361271,Developed Residential
849,Comfortable Home in Rajendra Place,Manish Jain,Rajendra Place,Entire home/apt,2250,2,66,0.31,90,28.638604,77.177546,Developed Residential
850,Budget Stay around Vasant Kunj,Rohit Mishra,Vasant Kunj,Entire home/apt,4000,1,16,0.77,299,28.525764,77.157135,Developed Residential
851,City Stay - Hauz Khas,Varun Gupta,Hauz Khas,Entire home/apt,4000,2,119,0.79,259,28.545059,77.2077,Green & Peaceful
852,City Stay - Green Park,Rohit Sharma,Green Park,Entire home/apt,3200,3,54,0.24,180,28.546335,77.201871,Green & Peaceful
853,Modern Stay near Gurgaon Cyber City,Aditya Bansal,Gurgaon Cyber City,Entire home/apt,4000,1,69,0.19,205,28.498508,77.090427,Corporate/Developed Area
854,Private Room near Gurgaon Cyber City,Riya Kumar,Gurgaon Cyber City,Entire home/apt,4000,1,73,0.24,190,28.493934,77.083011,Corporate/Developed Area
855,Private Room near Connaught Place,Megha Kapoor,Connaught Place,Private room,2150,1,67,0.29,121,28.622844,77.21958,Market Area
856,Premium Stay - Uttam Nagar,Rahul Mishra,Uttam Nagar,Private room,1350,1,48,0.83,114,28.627845,77.063581,Dense/Chawl-type Area
857,Peaceful Retreat near Green Park,Shreya Kumar,Green Park,Hotel room,2100,1,33,1.63,212,28.566573,77.20339,Green & Peaceful
858,Comfortable Home in Paharganj,Priya Chauhan,Paharganj,Entire home/apt,2050,2,34,0.64,315,28.644312,77.219573,Dense/Chawl-type Area
859,City Stay - Chattarpur,Shreya Agarwal,Chattarpur,Entire home/apt,2800,4,63,0.52,5,28.50611,77.182383,Green & Peaceful
860,Bright Apartment in Chattarpur,Ankit Sharma,Chattarpur,Private room,1950,3,39,0.34,133,28.504146,77.169795,Green & Peaceful
861,Peaceful Retreat near Ghaziabad Vaishali,Karan Bansal,Ghaziabad Vaishali,Entire home/apt,2300,3,1,0.62,51,28.652778,77.337404,Market Area
862,Budget Stay around Rajendra Place,Ankit Bansal,Rajendra Place,Private room,1950,1,27,0.71,237,28.657032,77.176096,Developed Residential
863,Bright Apartment in Chattarpur,Manish Kapoor,Chattarpur,Private room,1850,1,21,0.96,168,28.501427,77.190516,Green & Peaceful
864,Modern Stay near Gurgaon DLF Phase 2,Neha Malhotra,Gurgaon DLF Phase 2,Private room,2800,2,16,0.14,259,28.479928,77.090132,Market Area
865,Private Room near Vikaspuri,Ankit Gupta,Vikaspuri,Entire home/apt,2500,1,95,0.2,270,28.648237,77.059413,Developed Residential
866,Peaceful Retreat near Noida Sector 75,Riya Jain,Noida Sector 75,Private room,1300,3,19,0.46,186,28.561326,77.381993,Developed Residential
867,Budget Stay around Connaught Place,Amit Kumar,Connaught Place,Private room,3100,1,18,1.36,131,28.628847,77.221764,Market Area
868,City Stay - Dwarka,Vikas Mehta,Dwarka,Private room,1950,1,24,1.55,290,28.595477,77.045174,Developed Residential
869,Family Home in Aerocity,Riya Kumar,Aerocity,Private room,2700,7,99,1.99,72,28.560519,77.085417,Developed Residential
870,City Stay - Paharganj,Aditya Sharma,Paharganj,Entire home/apt,2600,2,79,0.99,199,28.646045,77.215674,Dense/Chawl-type Area
871,Peaceful Retreat near Aerocity,Sanjay Saini,Aerocity,Private room,2400,2,35,0.85,236,28.555885,77.070648,Developed Residential
872,Modern Stay near Mahipalpur,Rohit Agarwal,Mahipalpur,Hotel room,1950,5,23,0.38,269,28.548593,77.134434,Dense/Chawl-type Area
873,Comfortable Home in Rajendra Place,Shreya Kumar,Rajendra Place,Private room,1750,4,9,1.34,149,28.642839,77.181444,Developed Residential
874,Premium Stay - Aerocity,Nisha Agarwal,Aerocity,Shared room,1950,3,88,0.18,339,28.554029,77.081284,Developed Residential
875,Modern Stay near Karol Bagh,Karan Saini,Karol Bagh,Entire home/apt,3050,14,49,0.73,218,28.657171,77.195626,Market Area
876,Family Home in Greater Kailash,Karan Chauhan,Greater Kailash,Private room,2650,2,2,0.36,274,28.550757,77.226717,Developed Residential
877,Comfortable Home in Karol Bagh,Vikas Singh,Karol Bagh,Entire home/apt,2650,14,26,1.26,64,28.656272,77.189401,Market Area
878,Private Room near Janakpuri,Varun Gupta,Janakpuri,Entire home/apt,2600,3,36,0.32,10,28.627186,77.091044,Developed Residential
879,Budget Stay around Gurgaon Golf Course Road,Simran Chauhan,Gurgaon Golf Course Road,Hotel room,4000,3,23,0.28,232,28.448463,77.101718,Developed Residential
