id,name,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,latitude,longitude,area_type,state,adjusted_price,review_scores_rating,cleanliness_rating,distance_to_metro_km,amenities_count,host_is_superhost,instant_bookable,greenery_score
360,Comfortable Home in Saket,Vikas Saini,Saket,Private room,2050,2,10,0.79,128,28.514244,77.209958,Developed Residential,Delhi,1845,4.49,3.8,1.03,16,f,f,8.0
361,Cozy Mehrauli Studio,Karan Kapoor,Mehrauli,Private room,1600,3,12,0.34,74,28.526609,77.173631,Dense/Chawl-type Area,Delhi,1440,4.27,4.8,1.31,19,f,f,7.2
362,Modern Stay near Karol Bagh,Megha Malhotra,Karol Bagh,Private room,1650,3,20,0.09,215,28.651855,77.198749,Market Area,Delhi,1485,4.57,3.9,0.51,12,f,t,8.3
363,Modern Stay near Noida Sector 137,Vikas Mishra,Noida Sector 137,Private room,1300,1,29,0.63,110,28.51379,77.400134,Developed Residential,Uttar Pradesh,1170,4.35,4.9,1.14,11,f,f,7.5
364,Comfortable Home in Noida Sector 18,Shreya Verma,Noida Sector 18,Private room,1650,1,19,0.62,97,28.578179,77.339324,Market Area,Uttar Pradesh,1485,4.45,4.4,1.62,18,f,t,7.8
365,City Stay - Dwarka,Varun Jain,Dwarka,Entire home/apt,2700,1,43,0.56,318,28.584553,77.050388,Developed Residential,Delhi,4320,4.93,4.2,1.07,23,t,f,9.5
366,City Stay - Ghaziabad Indirapuram,Deepak Saini,Ghaziabad Indirapuram,Entire home/apt,2400,4,44,0.22,257,28.638796,77.369778,Developed Residential,Uttar Pradesh,3840,4.26,4.4,5.76,18,f,f,7.2
367,Private Room near Noida Sector 62,Manish Mishra,Noida Sector 62,Entire home/apt,3600,1,37,1.08,365,28.628589,77.372552,Corporate/Developed Area,Uttar Pradesh,5760,4.95,4.3,1.33,17,t,f,9.6
368,Private Room near Noida Sector 62,Varun Singh,Noida Sector 62,Private room,1700,1,46,0.89,239,28.630649,77.363574,Corporate/Developed Area,Uttar Pradesh,1530,4.89,4.6,0.76,5,t,t,9.4
369,Budget Stay around Noida Sector 137,Megha Gupta,Noida Sector 137,Entire home/apt,2000,7,69,1.24,191,28.515846,77.401853,Developed Residential,Uttar Pradesh,3200,4.03,3.9,1.97,23,f,t,6.3
370,Family Home in Saket,Pooja Jain,Saket,Entire home/apt,4000,2,30,0.53,5,28.530055,77.206691,Developed Residential,Delhi,6400,3.88,4.0,0.42,5,f,f,5.8
371,Comfortable Home in Dwarka,Deepak Saini,Dwarka,Entire home/apt,3200,14,27,0.4,49,28.581382,77.042268,Developed Residential,Delhi,5120,3.92,4.8,0.78,8,f,t,5.9
372,Budget Stay around Noida Sector 18,Neha Kumar,Noida Sector 18,Private room,2150,1,5,0.34,290,28.560767,77.325983,Market Area,Uttar Pradesh,1935,3.82,4.9,0.71,14,f,f,5.6
373,Premium Stay - Ghaziabad Indirapuram,Riya Jain,Ghaziabad Indirapuram,Entire home/apt,2200,1,23,0.1,137,28.644128,77.37293,Developed Residential,Uttar Pradesh,3520,3.91,4.8,0.88,7,f,f,5.9
374,Cozy Karol Bagh Studio,Arjun Mishra,Karol Bagh,Entire home/apt,2650,2,9,0.08,194,28.648677,77.187256,Market Area,Delhi,4240,4.62,4.1,2.03,24,f,f,8.4
375,City Stay - Karol Bagh,Karan Saini,Karol Bagh,Private room,1950,2,40,0.43,127,28.65634,77.192055,Market Area,Delhi,1755,3.89,4.7,0.99,13,f,t,5.8
376,Private Room near Noida Sector 75,Aditya Bansal,Noida Sector 75,Entire home/apt,2450,3,7,0.27,103,28.563261,77.390412,Developed Residential,Uttar Pradesh,3920,4.18,4.2,2.1,7,f,f,6.9
377,Premium Stay - Chattarpur,Rahul Mehta,Chattarpur,Entire home/apt,2300,1,2,0.41,190,28.50404,77.168745,Green & Peaceful,Delhi,3680,4.81,4.2,1.23,10,f,f,9.1
378,Bright Apartment in Lajpat Nagar,Varun Chauhan,Lajpat Nagar,Private room,1550,1,13,0.57,251,28.564893,77.238472,Market Area,Delhi,1395,3.83,3.8,0.7,10,f,f,5.6
379,Premium Stay - Ghaziabad Vaishali,Megha Yadav,Ghaziabad Vaishali,Entire home/apt,2350,4,39,0.35,189,28.650273,77.33304,Market Area,Uttar Pradesh,3760,4.78,4.4,2.19,16,t,t,9.0
380,Bright Apartment in Paharganj,Nisha Mehta,Paharganj,Entire home/apt,1850,2,47,0.19,342,28.644898,77.217742,Dense/Chawl-type Area,Delhi,2960,4.14,3.8,0.53,5,f,t,6.7
381,Peaceful Retreat near Lajpat Nagar,Pooja Saini,Lajpat Nagar,Private room,2300,1,8,0.05,168,28.566958,77.240914,Market Area,Delhi,2070,3.94,4.0,0.5,20,f,t,6.0
382,Peaceful Retreat near Ghaziabad Vaishali,Aditya Malhotra,Ghaziabad Vaishali,Entire home/apt,1900,3,81,0.26,168,28.647014,77.340674,Market Area,Uttar Pradesh,3040,4.64,4.8,1.04,9,f,t,8.5
383,Bright Apartment in Noida Sector 18,Manish Sharma,Noida Sector 18,Entire home/apt,3550,1,68,0.09,322,28.573079,77.320192,Market Area,Uttar Pradesh,5680,4.55,3.8,0.56,13,f,f,8.2
384,Budget Stay around South Extension,Varun Saini,South Extension,Entire home/apt,3650,1,75,1.41,158,28.571802,77.228161,Market Area,Delhi,5840,4.85,3.6,0.21,14,t,f,9.3
385,Comfortable Home in Lajpat Nagar,Nisha Agarwal,Lajpat Nagar,Entire home/apt,2900,5,80,0.14,170,28.566792,77.234925,Market Area,Delhi,4640,4.68,3.6,1.45,17,f,t,8.7
386,Comfortable Home in Paharganj,Varun Sharma,Paharganj,Entire home/apt,2400,1,19,0.35,104,28.644527,77.215838,Dense/Chawl-type Area,Delhi,3840,4.76,4.9,1.06,19,f,f,9.0
387,Bright Apartment in Lajpat Nagar,Deepak Bansal,Lajpat Nagar,Hotel room,2500,1,41,1.39,72,28.568647,77.236716,Market Area,Delhi,3250,4.14,4.3,0.91,16,f,t,6.7
388,Private Room near Gurgaon Sector 47,Priya Mishra,Gurgaon Sector 47,Entire home/apt,2850,7,51,1.28,182,28.418481,77.048463,Developed Residential,Haryana,4560,4.01,4.1,4.29,9,f,t,6.3
389,Private Room near Ghaziabad Indirapuram,Priya Kapoor,Ghaziabad Indirapuram,Entire home/apt,1900,1,30,0.67,218,28.646098,77.375157,Developed Residential,Uttar Pradesh,3040,4.7,4.7,1.22,9,t,t,8.7
390,Comfortable Home in Connaught Place,Amit Saini,Connaught Place,Entire home/apt,4000,4,75,0.26,279,28.635229,77.214704,Market Area,Delhi,6400,4.77,4.8,2.59,22,t,t,9.0
391,Comfortable Home in Green Park,Manish Mishra,Green Park,Entire home/apt,4000,2,97,0.33,260,28.555079,77.197508,Green & Peaceful,Delhi,6400,4.99,4.0,0.38,16,t,f,9.8
392,City Stay - Chattarpur,Neha Mehta,Chattarpur,Private room,1850,2,13,0.16,285,28.504424,77.172982,Green & Peaceful,Delhi,1665,4.3,4.5,1.21,7,f,t,7.3
393,Budget Stay around Hauz Khas,Riya Bansal,Hauz Khas,Entire home/apt,4000,2,46,0.74,350,28.538237,77.205285,Green & Peaceful,Delhi,6400,4.25,4.7,2.63,11,f,f,7.1
394,Bright Apartment in Uttam Nagar,Neha Mishra,Uttam Nagar,Entire home/apt,1950,2,19,1.03,196,28.627226,77.067569,Dense/Chawl-type Area,Delhi,3120,4.73,4.5,1.25,21,f,f,8.8
395,Bright Apartment in Lajpat Nagar,Megha Malhotra,Lajpat Nagar,Entire home/apt,3200,2,14,0.25,146,28.571481,77.23204,Market Area,Delhi,5120,4.21,3.7,1.72,23,f,f,7.0
396,Premium Stay - Noida Sector 75,Varun Mishra,Noida Sector 75,Private room,1700,3,30,0.06,223,28.564351,77.391179,Developed Residential,Uttar Pradesh,1530,4.92,4.8,0.76,22,t,t,9.5
397,Modern Stay near Mehrauli,Rohit Bansal,Mehrauli,Private room,2150,1,80,0.58,213,28.524962,77.186244,Dense/Chawl-type Area,Delhi,1935,4.83,4.3,0.32,5,t,t,9.2
398,City Stay - Vikaspuri,Vikas Agarwal,Vikaspuri,Entire home/apt,2700,2,91,0.03,238,28.641319,77.066711,Developed Residential,Delhi,4320,4.31,3.9,0.93,9,f,t,7.3
399,Modern Stay near Lajpat Nagar,Vikas Saini,Lajpat Nagar,Entire home/apt,4000,1,15,0.78,8,28.567871,77.230833,Market Area,Delhi,6400,4.7,4.1,0.8,6,f,f,8.7
400,Modern Stay near Ghaziabad Indirapuram,Manish Verma,Ghaziabad Indirapuram,Entire home/apt,2050,2,29,2.08,240,28.624774,77.367221,Developed Residential,Uttar Pradesh,3280,4.71,3.6,2.62,5,f,t,8.7
401,City Stay - Greater Kailash,Shreya Gupta,Greater Kailash,Entire home/apt,3800,1,52,0.16,223,28.556065,77.236725,Developed Residential,Delhi,6080,3.92,3.7,0.54,11,f,f,5.9
402,Bright Apartment in Aerocity,Amit Sharma,Aerocity,Entire home/apt,4000,2,19,0.12,98,28.550013,77.082441,Developed Residential,Delhi,6400,4.88,4.6,4.28,15,f,f,9.4
403,Bright Apartment in Gurgaon Sector 47,Rohit Kumar,Gurgaon Sector 47,Hotel room,4000,1,58,0.13,5,28.422718,77.037071,Developed Residential,Haryana,5200,4.41,3.5,4.01,15,f,f,7.7
404,Comfortable Home in Ghaziabad Indirapuram,Sanjay Malhotra,Ghaziabad Indirapuram,Entire home/apt,2500,2,31,0.21,88,28.645204,77.387888,Developed Residential,Uttar Pradesh,4000,4.79,4.1,0.54,22,t,f,9.1
405,Budget Stay around Defence Colony,Vikas Kapoor,Defence Colony,Entire home/apt,4000,2,43,0.63,223,28.573925,77.225039,Green & Peaceful,Delhi,6400,4.18,4.3,0.71,21,f,t,6.9
406,Comfortable Home in Gurgaon Sector 47,Aditya Agarwal,Gurgaon Sector 47,Entire home/apt,3800,5,60,0.31,132,28.429636,77.045783,Developed Residential,Haryana,6080,4.87,3.6,2.91,6,t,f,9.4
407,Modern Stay near Mahipalpur,Ankit Gupta,Mahipalpur,Entire home/apt,2250,2,16,0.29,215,28.54176,77.128371,Dense/Chawl-type Area,Delhi,3600,4.27,5.0,4.28,11,f,f,7.2
408,Budget Stay around Faridabad Sector 15,Simran Mishra,Faridabad Sector 15,Entire home/apt,1850,3,23,0.31,209,28.416767,77.316454,Developed Residential,Haryana,2960,3.81,3.8,0.9,11,f,f,5.5
409,Peaceful Retreat near Noida Sector 137,Simran Agarwal,Noida Sector 137,Entire home/apt,2650,1,34,0.14,339,28.508532,77.397688,Developed Residential,Uttar Pradesh,4240,4.89,4.0,0.66,14,t,f,9.4
410,Family Home in Gurgaon Cyber City,Varun Jain,Gurgaon Cyber City,Private room,3300,1,59,0.16,101,28.503106,77.094317,Corporate/Developed Area,Haryana,2970,3.91,4.0,1.1,7,f,f,5.9
411,Private Room near Faridabad Sector 15,Rahul Singh,Faridabad Sector 15,Entire home/apt,1850,4,83,1.02,131,28.402395,77.3305,Developed Residential,Haryana,2960,4.18,3.8,1.6,16,f,t,6.9
412,City Stay - Gurgaon Golf Course Road,Arjun Mehta,Gurgaon Golf Course Road,Entire home/apt,4000,2,24,0.13,45,28.465247,77.101246,Developed Residential,Haryana,6400,4.94,3.5,0.58,7,f,t,9.6
413,Private Room near Saket,Amit Jain,Saket,Private room,2000,3,107,0.35,205,28.522709,77.207191,Developed Residential,Delhi,1800,4.94,4.6,1.8,15,t,t,9.6
414,Premium Stay - Paharganj,Karan Agarwal,Paharganj,Hotel room,1900,5,82,0.59,5,28.64171,77.208405,Dense/Chawl-type Area,Delhi,2470,4.49,5.0,0.26,16,f,t,8.0
415,Private Room near Janakpuri,Ankit Verma,Janakpuri,Entire home/apt,2400,4,48,0.28,206,28.624779,77.086188,Developed Residential,Delhi,3840,4.56,3.8,0.26,8,f,t,8.2
416,City Stay - Noida Sector 75,Sanjay Bansal,Noida Sector 75,Entire home/apt,1800,1,22,0.22,148,28.565074,77.391759,Developed Residential,Uttar Pradesh,2880,4.34,4.5,0.79,20,f,f,7.4
417,City Stay - Connaught Place,Manish Saini,Connaught Place,Hotel room,3800,2,23,0.55,156,28.630913,77.210052,Market Area,Delhi,4940,4.15,4.6,0.72,24,f,f,6.8
418,City Stay - Vikaspuri,Shreya Mishra,Vikaspuri,Entire home/apt,2200,2,64,0.86,180,28.644584,77.060606,Developed Residential,Delhi,3520,4.19,4.8,0.66,22,f,f,6.9
419,Private Room near Ghaziabad Indirapuram,Pooja Malhotra,Ghaziabad Indirapuram,Hotel room,1200,1,50,0.53,101,28.636945,77.361571,Developed Residential,Uttar Pradesh,1560,4.61,4.1,1.01,8,f,f,8.4
420,Budget Stay around Faridabad Sector 15,Priya Singh,Faridabad Sector 15,Entire home/apt,1700,1,36,0.06,212,28.407362,77.314572,Developed Residential,Haryana,2720,4.7,4.0,0.66,10,t,f,8.7
421,Family Home in Ghaziabad Vaishali,Aditya Chauhan,Ghaziabad Vaishali,Hotel room,2300,5,3,0.45,258,28.646965,77.329145,Market Area,Uttar Pradesh,2990,4.75,4.0,0.46,19,f,t,8.9
422,City Stay - Mahipalpur,Karan Saini,Mahipalpur,Private room,1800,1,139,2.21,201,28.560013,77.131518,Dense/Chawl-type Area,Delhi,1620,4.75,4.6,0.64,5,t,t,8.9
423,Budget Stay around Dwarka,Amit Mishra,Dwarka,Hotel room,1850,3,83,0.07,92,28.591591,77.055061,Developed Residential,Delhi,2405,3.91,4.7,4.62,7,f,f,5.9
424,Family Home in Noida Sector 18,Arjun Sharma,Noida Sector 18,Private room,2350,1,19,0.06,208,28.571786,77.339177,Market Area,Uttar Pradesh,2115,4.39,3.8,0.84,9,f,t,7.6
425,Family Home in Karol Bagh,Rohit Jain,Karol Bagh,Hotel room,2650,1,38,0.53,303,28.646857,77.189274,Market Area,Delhi,3445,3.87,4.1,0.91,21,f,t,5.7
426,City Stay - Rajendra Place,Varun Mishra,Rajendra Place,Entire home/apt,2650,7,49,0.21,86,28.641641,77.180961,Developed Residential,Delhi,4240,4.46,4.9,1.23,18,f,t,7.9
427,Bright Apartment in Mehrauli,Vikas Bansal,Mehrauli,Private room,1300,3,63,0.39,155,28.523917,77.173535,Dense/Chawl-type Area,Delhi,1170,4.33,4.7,5.11,13,f,t,7.4
428,Peaceful Retreat near Mehrauli,Vikas Agarwal,Mehrauli,Entire home/apt,1950,2,57,0.14,229,28.52084,77.18637,Dense/Chawl-type Area,Delhi,3120,4.87,5.0,0.53,7,t,f,9.3
429,Comfortable Home in Gurgaon Golf Course Road,Simran Kumar,Gurgaon Golf Course Road,Entire home/apt,4000,4,6,0.36,319,28.450337,77.093669,Developed Residential,Haryana,6400,4.22,4.6,1.57,17,f,f,7.0
430,Cozy Chattarpur Studio,Priya Jain,Chattarpur,Entire home/apt,2850,1,99,0.22,232,28.505597,77.168177,Green & Peaceful,Delhi,4560,3.94,4.1,1.71,7,f,f,6.0
431,Private Room near Dwarka,Karan Yadav,Dwarka,Private room,1500,4,22,0.93,219,28.590081,77.045881,Developed Residential,Delhi,1350,3.97,4.4,1.32,15,f,f,6.1
432,Bright Apartment in Connaught Place,Rohit Bansal,Connaught Place,Private room,2800,3,64,0.25,293,28.63808,77.223204,Market Area,Delhi,2520,4.71,4.5,0.31,6,t,t,8.8
433,City Stay - Ghaziabad Indirapuram,Rahul Verma,Ghaziabad Indirapuram,Entire home/apt,2800,3,5,0.65,294,28.642151,77.38269,Developed Residential,Uttar Pradesh,4480,4.54,3.6,1.56,19,f,t,8.2
434,Budget Stay around Dwarka,Riya Saini,Dwarka,Entire home/apt,3150,1,3,0.41,95,28.587029,77.039402,Developed Residential,Delhi,5040,3.92,4.3,0.28,17,f,t,5.9
435,Comfortable Home in Ghaziabad Indirapuram,Ankit Singh,Ghaziabad Indirapuram,Private room,1350,3,38,0.33,234,28.636052,77.37266,Developed Residential,Uttar Pradesh,1215,3.9,4.6,1.29,23,f,t,5.9
436,Bright Apartment in Uttam Nagar,Megha Jain,Uttam Nagar,Entire home/apt,2000,2,34,0.33,242,28.61315,77.067421,Dense/Chawl-type Area,Delhi,3200,4.64,3.8,1.81,20,f,f,8.5
437,City Stay - Noida Sector 18,Deepak Kapoor,Noida Sector 18,Entire home/apt,2700,1,1,1.73,219,28.571857,77.321999,Market Area,Uttar Pradesh,4320,3.89,4.7,0.48,22,f,f,5.8
438,Private Room near Defence Colony,Ankit Kumar,Defence Colony,Entire home/apt,4000,1,22,0.24,311,28.574819,77.22736,Green & Peaceful,Delhi,6400,4.79,4.4,2.41,11,f,f,9.0
439,Bright Apartment in Gurgaon Golf Course Road,Karan Saini,Gurgaon Golf Course Road,Entire home/apt,4000,2,13,0.17,307,28.465157,77.102924,Developed Residential,Haryana,6400,4.65,4.9,0.24,17,f,t,8.5
440,Modern Stay near Uttam Nagar,Priya Mehta,Uttam Nagar,Entire home/apt,2000,2,19,0.41,169,28.63509,77.064374,Dense/Chawl-type Area,Delhi,3200,3.9,3.6,2.43,8,f,f,5.8
441,Peaceful Retreat near Rajendra Place,Rahul Yadav,Rajendra Place,Shared room,1050,2,39,0.32,5,28.648749,77.185593,Developed Residential,Delhi,525,3.9,3.9,0.94,13,f,f,5.9
442,Premium Stay - Gurgaon Cyber City,Nisha Mishra,Gurgaon Cyber City,Entire home/apt,4000,2,23,0.93,230,28.484313,77.075617,Corporate/Developed Area,Haryana,6400,4.98,4.4,0.49,14,f,f,9.7
443,Budget Stay around Greater Kailash,Sanjay Verma,Greater Kailash,Private room,2400,1,54,0.32,252,28.547725,77.245074,Developed Residential,Delhi,2160,4.25,3.9,0.37,13,f,f,7.1
444,Premium Stay - Connaught Place,Amit Kumar,Connaught Place,Private room,2950,2,24,0.28,158,28.638398,77.218479,Market Area,Delhi,2655,4.24,4.6,3.88,11,f,f,7.1
445,Bright Apartment in Hauz Khas,Priya Mehta,Hauz Khas,Entire home/apt,4000,1,40,0.08,267,28.553882,77.208492,Green & Peaceful,Delhi,6400,4.78,4.6,0.29,19,t,f,9.0
446,Budget Stay around Janakpuri,Arjun Bansal,Janakpuri,Private room,1300,1,52,0.6,128,28.622545,77.090124,Developed Residential,Delhi,1170,4.94,3.7,0.47,12,t,f,9.6
447,Peaceful Retreat near Lajpat Nagar,Sanjay Verma,Lajpat Nagar,Entire home/apt,3100,2,79,0.84,253,28.571526,77.245999,Market Area,Delhi,4960,4.98,4.3,0.71,23,t,t,9.7
448,Family Home in Chattarpur,Varun Sharma,Chattarpur,Private room,1850,1,30,0.66,127,28.505796,77.165431,Green & Peaceful,Delhi,1665,4.7,4.3,1.36,15,t,f,8.7
449,Family Home in Noida Sector 137,Megha Chauhan,Noida Sector 137,Entire home/apt,2450,2,19,0.6,114,28.516831,77.399702,Developed Residential,Uttar Pradesh,3920,4.25,4.1,1.14,9,f,t,7.1
450,Modern Stay near Vikaspuri,Vikas Agarwal,Vikaspuri,Private room,1300,1,11,0.15,234,28.636875,77.072983,Developed Residential,Delhi,1170,3.9,4.9,0.36,6,f,t,5.9
451,City Stay - Defence Colony,Shreya Jain,Defence Colony,Private room,2650,5,53,0.41,149,28.566986,77.230032,Green & Peaceful,Delhi,2385,4.73,4.7,0.61,14,t,f,8.8
452,Comfortable Home in Noida Sector 18,Manish Verma,Noida Sector 18,Entire home/apt,2650,1,10,0.67,332,28.563233,77.337837,Market Area,Uttar Pradesh,4240,4.47,4.5,0.53,20,f,f,7.9
453,City Stay - Mahipalpur,Rohit Sharma,Mahipalpur,Private room,1400,1,30,0.26,252,28.543529,77.133455,Dense/Chawl-type Area,Delhi,1260,4.31,4.6,0.49,17,f,t,7.3
454,Modern Stay near Defence Colony,Varun Verma,Defence Colony,Private room,2500,5,92,0.1,306,28.567959,77.231893,Green & Peaceful,Delhi,2250,4.89,4.2,0.84,12,t,f,9.4
455,Premium Stay - Gurgaon Golf Course Road,Vikas Jain,Gurgaon Golf Course Road,Entire home/apt,4000,1,44,0.36,287,28.453703,77.099524,Developed Residential,Haryana,6400,3.93,4.9,1.66,13,f,t,6.0
456,Private Room near Uttam Nagar,Rahul Malhotra,Uttam Nagar,Entire home/apt,1600,4,54,0.12,181,28.626606,77.060882,Dense/Chawl-type Area,Delhi,2560,4.39,4.5,0.49,15,f,f,7.6
457,Premium Stay - Mahipalpur,Sanjay Agarwal,Mahipalpur,Hotel room,1550,5,88,0.44,148,28.547005,77.133854,Dense/Chawl-type Area,Delhi,2015,3.81,4.6,0.75,15,f,f,5.5
458,Comfortable Home in Paharganj,Manish Bansal,Paharganj,Entire home/apt,2000,1,33,0.48,172,28.643767,77.217353,Dense/Chawl-type Area,Delhi,3200,4.36,4.8,0.79,20,f,f,7.5
459,Modern Stay near Old Delhi,Manish Agarwal,Old Delhi,Private room,1250,2,67,0.88,146,28.657377,77.235275,Dense/Chawl-type Area,Delhi,1125,3.87,3.9,4.7,14,f,f,5.7
460,Budget Stay around Faridabad Sector 15,Varun Bansal,Faridabad Sector 15,Private room,850,3,84,0.33,365,28.400038,77.310817,Developed Residential,Haryana,765,3.94,4.7,3.91,16,f,t,6.0
461,Bright Apartment in Saket,Arjun Sharma,Saket,Entire home/apt,4000,1,23,0.65,211,28.51228,77.215252,Developed Residential,Delhi,6400,3.94,3.8,2.13,10,f,f,6.0
462,Private Room near Saket,Pooja Mehta,Saket,Entire home/apt,3300,1,10,1.96,362,28.52088,77.216604,Developed Residential,Delhi,5280,4.58,4.0,0.53,16,f,t,8.3
463,Bright Apartment in Vasant Kunj,Vikas Mishra,Vasant Kunj,Private room,2050,2,17,0.22,58,28.521264,77.160318,Developed Residential,Delhi,1845,4.7,4.0,0.28,14,f,f,8.7
464,Bright Apartment in Karol Bagh,Priya Agarwal,Karol Bagh,Private room,1900,1,81,0.25,365,28.649056,77.189299,Market Area,Delhi,1710,4.5,5.0,0.66,22,f,f,8.0
465,Bright Apartment in Lajpat Nagar,Megha Jain,Lajpat Nagar,Private room,2900,1,26,0.72,271,28.58063,77.241408,Market Area,Delhi,2610,4.95,4.8,0.57,22,f,f,9.6
466,City Stay - Defence Colony,Rohit Malhotra,Defence Colony,Private room,2400,2,17,0.75,223,28.575004,77.234452,Green & Peaceful,Delhi,2160,4.25,4.6,1.05,8,f,t,7.1
467,Private Room near Greater Kailash,Pooja Verma,Greater Kailash,Hotel room,2350,2,52,0.64,104,28.554588,77.242391,Developed Residential,Delhi,3055,4.14,4.6,2.0,13,f,t,6.7
468,Peaceful Retreat near Mahipalpur,Neha Agarwal,Mahipalpur,Private room,1100,14,15,0.87,312,28.544023,77.1233,Dense/Chawl-type Area,Delhi,990,4.84,4.3,2.55,11,f,t,9.2
469,Cozy Karol Bagh Studio,Simran Sharma,Karol Bagh,Entire home/apt,2550,1,39,0.9,255,28.654001,77.187649,Market Area,Delhi,4080,4.07,4.9,2.44,22,f,f,6.5
470,Comfortable Home in Vikaspuri,Riya Singh,Vikaspuri,Entire home/apt,1750,1,65,0.3,323,28.646442,77.067095,Developed Residential,Delhi,2800,4.96,4.2,0.73,12,t,f,9.6
471,Modern Stay near Old Delhi,Aditya Singh,Old Delhi,Shared room,700,3,50,0.47,201,28.656958,77.224934,Dense/Chawl-type Area,Delhi,350,3.81,4.1,1.59,15,f,t,5.6
472,Family Home in Janakpuri,Megha Singh,Janakpuri,Private room,1550,7,25,0.03,365,28.623164,77.084869,Developed Residential,Delhi,1395,4.96,3.7,0.65,11,f,f,9.7
473,Peaceful Retreat near Dwarka,Pooja Mishra,Dwarka,Private room,1400,2,30,0.56,295,28.592233,77.049339,Developed Residential,Delhi,1260,3.85,4.7,0.28,13,f,f,5.7
474,Comfortable Home in Greater Kailash,Riya Yadav,Greater Kailash,Private room,2950,3,18,0.49,365,28.561166,77.237009,Developed Residential,Delhi,2655,4.87,4.6,1.65,12,f,t,9.3
475,City Stay - Noida Sector 62,Simran Sharma,Noida Sector 62,Private room,1500,1,26,0.3,154,28.62877,77.355916,Corporate/Developed Area,Uttar Pradesh,1350,4.43,4.1,0.21,7,f,f,7.8
476,Premium Stay - Gurgaon DLF Phase 2,Rahul Gupta,Gurgaon DLF Phase 2,Entire home/apt,4000,2,57,0.17,229,28.486139,77.0948,Market Area,Haryana,6400,4.99,3.5,0.83,21,t,f,9.8
477,Comfortable Home in Lajpat Nagar,Arjun Yadav,Lajpat Nagar,Private room,1600,3,32,0.16,266,28.567816,77.229378,Market Area,Delhi,1440,3.89,4.8,0.68,6,f,f,5.8
478,Cozy Noida Sector 62 Studio,Priya Agarwal,Noida Sector 62,Private room,1950,2,76,0.42,195,28.614445,77.355868,Corporate/Developed Area,Uttar Pradesh,1755,4.46,3.5,1.62,19,f,t,7.9
479,Bright Apartment in Noida Sector 18,Rahul Sharma,Noida Sector 18,Private room,2100,1,25,0.3,190,28.563216,77.328917,Market Area,Uttar Pradesh,1890,4.96,4.6,1.94,18,f,t,9.7
480,Bright Apartment in Janakpuri,Vikas Bansal,Janakpuri,Entire home/apt,1800,2,29,0.59,355,28.620355,77.091774,Developed Residential,Delhi,2880,4.43,5.0,0.64,22,f,t,7.7
481,City Stay - Hauz Khas,Amit Gupta,Hauz Khas,Entire home/apt,3300,3,56,0.04,234,28.547913,77.208022,Green & Peaceful,Delhi,5280,4.56,4.2,2.2,20,f,t,8.2
482,Budget Stay around Mehrauli,Rohit Gupta,Mehrauli,Shared room,850,1,31,0.1,269,28.523307,77.175253,Dense/Chawl-type Area,Delhi,425,4.63,3.9,0.62,24,f,t,8.5
483,Modern Stay near Gurgaon Cyber City,Deepak Verma,Gurgaon Cyber City,Private room,3100,14,61,0.13,260,28.498718,77.077532,Corporate/Developed Area,Haryana,2790,4.35,4.6,0.91,8,f,f,7.5
484,Bright Apartment in Saket,Varun Mehta,Saket,Entire home/apt,3650,1,39,1.35,186,28.519109,77.207721,Developed Residential,Delhi,5840,4.55,4.7,1.76,24,f,f,8.2
485,Modern Stay near Noida Sector 18,Deepak Bansal,Noida Sector 18,Private room,2150,1,19,0.64,255,28.571693,77.333089,Market Area,Uttar Pradesh,1935,4.5,4.3,1.62,10,f,f,8.0
486,Peaceful Retreat near Green Park,Shreya Kapoor,Green Park,Entire home/apt,4000,1,17,0.61,105,28.554527,77.197809,Green & Peaceful,Delhi,6400,4.88,5.0,5.45,10,f,t,9.4
487,Premium Stay - Old Delhi,Simran Sharma,Old Delhi,Entire home/apt,1700,14,36,0.27,365,28.664361,77.224533,Dense/Chawl-type Area,Delhi,2720,3.85,3.6,0.51,15,f,f,5.7
488,Cozy South Extension Studio,Karan Mehta,South Extension,Entire home/apt,4000,2,24,0.35,260,28.572283,77.215233,Market Area,Delhi,6400,4.14,4.3,1.5,21,f,f,6.7
489,Budget Stay around Saket,Rohit Mehta,Saket,Private room,2150,2,14,0.64,131,28.534057,77.207965,Developed Residential,Delhi,1935,4.94,4.6,1.33,7,f,f,9.6
490,Modern Stay near Greater Kailash,Manish Agarwal,Greater Kailash,Hotel room,3950,1,12,0.06,180,28.5432,77.245254,Developed Residential,Delhi,5135,4.87,4.8,3.16,17,f,f,9.3
491,Private Room near Noida Sector 18,Varun Saini,Noida Sector 18,Entire home/apt,2750,1,11,0.31,157,28.563879,77.327607,Market Area,Uttar Pradesh,4400,4.35,3.8,0.4,7,f,f,7.5
492,Modern Stay near Saket,Neha Jain,Saket,Hotel room,2750,3,82,0.05,164,28.517614,77.209126,Developed Residential,Delhi,3575,4.54,4.7,1.87,20,f,f,8.2
493,Comfortable Home in Uttam Nagar,Riya Bansal,Uttam Nagar,Private room,1250,5,99,0.56,247,28.620993,77.062309,Dense/Chawl-type Area,Delhi,1125,4.13,4.3,1.21,19,f,t,6.7
